mode,name,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile1.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",232.629576,0.0,0.0015103035084199196,487.880859375,898925,3101075,22.473125
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile10.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 278)",85.04040275,132.0,0.0005664479588435948,72.21484375,2360288,1639712,59.007200000000005
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile11.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",279.28129725,147.0,0.0010176891812800494,1959.521484375,188793,3811207,4.719825
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile12.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",267.12950225,152.0,0.0012328080976638492,1655.595703125,198849,3801151,4.971225
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile13.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",265.47094275,135.0,0.00119000922144243,1719.580078125,212802,3787198,5.32005
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile14.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1885)",171.16357775,0.0,0.0013013627131779166,393.935546875,860177,3139823,21.504424999999998
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile15.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",259.1544225,0.0,0.0015739022817481648,295.927734375,1706920,2293080,42.673
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile16.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",459.3101535,507.0,0.0020174469096780907,295.927734375,3149803,850197,78.745075
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile17.tif","(2000, 2000)",uint16,"(0, 65535)","(87, 4095)",739.9558565,593.0,0.0025311575925001514,1707.421875,226779,3773221,5.669475
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile18.tif","(2000, 2000)",uint16,"(0, 65535)","(68, 4095)",666.28016375,609.0,0.0025409896506081143,1397.224609375,227904,3772096,5.6975999999999996
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile19.tif","(2000, 2000)",uint16,"(0, 65535)","(56, 4095)",713.650359,691.0,0.002667906081025655,1736.287109375,91156,3908844,2.2789
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile2.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",348.788133,155.0,0.0017451346018787749,503.876953125,1271122,2728878,31.77805
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile20.tif","(2000, 2000)",uint16,"(0, 65535)","(69, 4095)",711.91177925,711.0,0.002516338169739984,1555.16015625,116075,3883925,2.901875
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile21.tif","(2000, 2000)",uint16,"(0, 65535)","(70, 4095)",737.2486765,695.0,0.0024215891801694068,1775.908203125,271263,3728737,6.781574999999999
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile22.tif","(2000, 2000)",uint16,"(0, 65535)","(63, 4095)",807.91210125,717.0,0.0026196547323277287,1472.625,550822,3449178,13.77055
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile23.tif","(2000, 2000)",uint16,"(0, 65535)","(66, 4095)",1201.70123525,1227.0,0.0032145022941157237,986.689453125,2551493,1448507,63.787324999999996
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile24.tif","(2000, 2000)",uint16,"(0, 65535)","(106, 4095)",1728.7323865,1604.0,0.003933871431561393,2061.544921875,1046595,2953405,26.164875
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile25.tif","(2000, 2000)",uint16,"(0, 65535)","(161, 4095)",1239.87116525,1052.0,0.003312812632045649,2135.68359375,250382,3749618,6.25955
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile26.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",920.211668,193.0,0.002268336122057194,1879.541015625,758142,3241858,18.95355
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile27.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile28.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile29.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1020)",117.018236,0.0,0.0010335193306998441,249.0234375,936855,3063145,23.421375
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile3.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",230.5885905,144.0,0.0013408745095979317,567.861328125,573123,3426877,14.328075000000002
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile30.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",385.3648205,426.0,0.0018527941172578693,231.943359375,3193758,806242,79.84394999999999
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile31.tif","(2000, 2000)",uint16,"(0, 65535)","(234, 4095)",559.63395575,534.0,0.002197462099263429,995.642578125,65096,3934904,1.6274
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile32.tif","(2000, 2000)",uint16,"(0, 65535)","(239, 4095)",719.2095295,658.0,0.0025647287593901923,984.59375,467438,3532562,11.68595
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile33.tif","(2000, 2000)",uint16,"(0, 65535)","(341, 4095)",769.6603715,688.0,0.0026505572518708597,993.55078125,548556,3451444,13.7139
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile34.tif","(2000, 2000)",uint16,"(0, 65535)","(230, 4095)",1029.04588775,964.0,0.0031151921205618076,1324.580078125,700467,3299533,17.511675
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile35.tif","(2000, 2000)",uint16,"(0, 65535)","(393, 4022)",1025.6040355,977.0,0.003089066981361815,1108.876953125,1257921,2742079,31.448025
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile36.tif","(2000, 2000)",uint16,"(0, 65535)","(380, 3115)",923.49342375,894.0,0.0028887929385978377,972.939453125,1403236,2596764,35.0809
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile37.tif","(2000, 2000)",uint16,"(0, 65535)","(377, 4095)",1326.9139125,1326.0,0.0035297261031012176,1328.28515625,1987569,2012431,49.689225
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile38.tif","(2000, 2000)",uint16,"(0, 65535)","(105, 4095)",1155.8359845,1036.0,0.0032120938617269425,1764.90234375,352337,3647663,8.808425
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile39.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",250.7000315,151.0,0.0011793265103700412,1719.580078125,124127,3875873,3.1031750000000002
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile4.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 711)",88.76894425,135.0,0.0005978049045732141,73.599609375,2377562,1622438,59.43905
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile40.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile41.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile42.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile43.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2655)",360.85435,474.0,0.001782071423700414,264.462890625,2715970,1284030,67.89925
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile44.tif","(2000, 2000)",uint16,"(0, 65535)","(317, 4095)",639.82364625,593.0,0.00243623455957667,796.62890625,531914,3468086,13.29785
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile45.tif","(2000, 2000)",uint16,"(0, 65535)","(287, 4095)",1153.07353425,1057.0,0.003864293715660567,1930.6875,193169,3806831,4.829225
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile46.tif","(2000, 2000)",uint16,"(0, 65535)","(459, 4095)",1044.772067,984.0,0.0031641947723118433,1275.6796875,475627,3524373,11.890675
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile47.tif","(2000, 2000)",uint16,"(0, 65535)","(398, 4095)",1008.85991175,966.0,0.003054494592153737,1127.291015625,900425,3099575,22.510625
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile48.tif","(2000, 2000)",uint16,"(0, 65535)","(131, 4095)",877.068929,836.0,0.0027935561764810307,1501.3671875,339094,3660906,8.47735
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile49.tif","(2000, 2000)",uint16,"(0, 65535)","(149, 4095)",1026.427285,884.0,0.0030060891374967353,1590.21484375,623876,3376124,15.5969
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile5.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 480)",86.50427375,134.0,0.0005778704436217333,72.1875,2375989,1624011,59.399725000000004
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile50.tif","(2000, 2000)",uint16,"(0, 65535)","(189, 4095)",2129.1575215,2044.0,0.004123335750797684,2271.69140625,1661631,2338369,41.540775000000004
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile51.tif","(2000, 2000)",uint16,"(0, 65535)","(107, 4095)",1456.3835885,1260.0,0.0036129948688986765,1859.5390625,940175,3059825,23.504375
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile52.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",205.56972625,148.0,0.0009588306408948433,1911.533203125,65188,3934812,1.6297
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile53.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile54.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile55.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2500)",198.67371725,241.0,0.0013016262666785507,190.4296875,2018549,1981451,50.463725000000004
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile56.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3219)",512.1137495,492.0,0.0021318350506976352,559.552734375,1380385,2619615,34.509625
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile57.tif","(2000, 2000)",uint16,"(0, 65535)","(185, 4095)",768.01831375,699.0,0.0028575422867005624,1445.05859375,135664,3864336,3.3916000000000004
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile58.tif","(2000, 2000)",uint16,"(0, 65535)","(180, 4095)",994.28816375,896.0,0.003308016232195,1716.943359375,174440,3825560,4.361000000000001
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile59.tif","(2000, 2000)",uint16,"(0, 65535)","(319, 4095)",1087.38576475,990.0,0.0032113342381640637,1668.625,280914,3719086,7.02285
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile6.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 294)",85.2940565,132.0,0.0005674920666418479,70.62890625,2366098,1633902,59.15245
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile60.tif","(2000, 2000)",uint16,"(0, 65535)","(210, 4095)",1252.40087025,1035.0,0.003371618077547533,1977.978515625,447697,3552303,11.192425
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile61.tif","(2000, 2000)",uint16,"(0, 65535)","(86, 4095)",1092.70874875,840.0,0.0032001880751496943,1440.603515625,1088489,2911511,27.212225
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile62.tif","(2000, 2000)",uint16,"(0, 65535)","(108, 4095)",1433.649979,1131.0,0.003572680765788422,1548.615234375,1777038,2222962,44.42595
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile63.tif","(2000, 2000)",uint16,"(0, 65535)","(190, 4095)",2841.30980275,2702.0,0.004050411351956672,2958.583984375,1716160,2283840,42.903999999999996
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile64.tif","(2000, 2000)",uint16,"(0, 65535)","(114, 4095)",1291.147485,1008.0,0.0032492888017551526,1910.115234375,828795,3171205,20.719875
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile65.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",327.93372375,155.0,0.0013614225240111274,1623.603515625,179540,3820460,4.4885
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile66.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile67.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile68.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",381.41971575,378.0,0.0019256641212958153,375.908203125,2006315,1993685,50.157875
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile69.tif","(2000, 2000)",uint16,"(0, 65535)","(53, 4095)",500.3280965,521.0,0.002105502784825925,424.04296875,2536552,1463448,63.413799999999995
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile7.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 240)",85.11122725,132.0,0.0005667900780022877,70.78125,2360467,1639533,59.011675
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile70.tif","(2000, 2000)",uint16,"(0, 65535)","(25, 4095)",507.8787675,195.0,0.002140621569820256,986.85546875,472053,3527947,11.801325
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile71.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",420.68948675,154.0,0.0018128738459900606,599.853515625,1179390,2820610,29.48475
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile72.tif","(2000, 2000)",uint16,"(0, 65535)","(34, 4095)",418.6209635,147.0,0.0016019240572534962,1517.216796875,316214,3683786,7.90535
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile73.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",218.12306,143.0,0.0011073126326484291,967.763671875,146774,3853226,3.6693499999999997
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile74.tif","(2000, 2000)",uint16,"(0, 65535)","(39, 1424)",147.69511025,140.0,0.0007486804276746256,371.724609375,21456,3978544,0.5364
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile75.tif","(2000, 2000)",uint16,"(0, 65535)","(35, 454)",147.77,143.0,0.000749008310759873,163.482421875,652200,3347800,16.305
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile76.tif","(2000, 2000)",uint16,"(0, 65535)","(81, 4095)",1258.9143765,250.0,0.0024832669512759578,1923.36328125,1180489,2819511,29.512224999999997
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile77.tif","(2000, 2000)",uint16,"(0, 65535)","(46, 4095)",230.751164,155.0,0.0011323486918096476,1524.833984375,86732,3913268,2.1683
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile78.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",261.2927965,143.0,0.0012452695836338923,1431.650390625,183474,3816526,4.58685
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile79.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile8.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 255)",82.8443615,130.0,0.0005492090794355914,70.224609375,2353528,1646472,58.83819999999999
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile80.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile81.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2780)",26.9200235,0.0,0.00047990300691356353,190.0390625,203233,3796767,5.080825
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile82.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 245)",23.9628395,0.0,0.00030557773349617967,69.384765625,662710,3337290,16.56775
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile83.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 358)",23.35095475,0.0,0.0002947010355991547,70.62109375,660065,3339935,16.501625
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile84.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 217)",23.14031825,0.0,0.0002889341744085761,68.236328125,664209,3335791,16.605225
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile85.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 223)",22.98899625,0.0,0.000286903785164484,68.380859375,667645,3332355,16.691125
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile86.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 237)",22.93243825,0.0,0.0002850031351734304,67.119140625,671504,3328496,16.7876
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile87.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 228)",22.7379415,0.0,0.0002817295971472987,68.1328125,668579,3331421,16.714475
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile88.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 242)",61.3369655,0.0,0.00044888092548079175,66.64453125,1809500,2190500,45.237500000000004
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile89.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",140.16656975,0.0,0.0006648383841179686,1975.517578125,64847,3935153,1.621175
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile9.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 244)",82.8476565,129.0,0.0005478158689282531,70.0546875,2361284,1638716,59.0321
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile90.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 238)",24.49725225,0.0,0.00030549807247526675,70.19140625,688947,3311053,17.223675
bad,"Slide2-1-2_Channel647,555,488_Seq0008_555_tile91.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 256)",20.85770175,0.0,0.0002807902695004116,69.5,599311,3400689,14.982775
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile1.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile10.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3737)",293.239278,144.0,0.001486446238879512,518.216796875,795028,3204972,19.8757
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile100.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile101.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3841)",92.4464215,0.0,0.0007790639262666465,1147.798828125,56696,3943304,1.4174
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile102.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4028)",386.420696,152.0,0.0018018860799058384,810.3203125,656989,3343011,16.424725000000002
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile103.tif","(2000, 2000)",uint16,"(0, 65535)","(24, 4095)",749.91558325,742.0,0.0026160807346654897,906.580078125,1362786,2637214,34.06965
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile104.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",243.111764,0.0,0.0014981794014878316,1095.732421875,354505,3645495,8.862625
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile105.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile106.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile107.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile108.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile109.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile11.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",164.47456725,135.0,0.000891859374997061,567.861328125,129509,3870491,3.237725
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile110.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile111.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile112.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile113.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
